Wave_center,Wave_min,Wave_max,LogT,Atom,Ion
9.3926,9.33,9.43,6.81,Fe,XVIII
13.124,13.04,13.17,5.57,Fe,VIII
13.285,13.23,13.32,6.97,Fe,XX
17.107,17.02,17.24,5.81,Fe,IX
17.7243,17.63,17.83,5.99,Fe,X
18.0407,17.96,18.15,6.07,Fe,XI
19.512,19.43,19.61,6.13,Fe,XII
20.2044,20.14,20.32,6.19,Fe,XIII
21.1331,21.07,21.2,6.27,Fe,XIV
25.6317,25.55,25.68,4.75,He,II
28.415,28.3,28.5,6.3,Fe,XV
30.3783,30.25,30.5,4.7,He,II
33.541,33.49,33.61,6.43,Fe,XVI
36.0758,36.03,36.15,6.43,Fe,XVI
36.8076,36.75,36.87,5.99,Mg,IX
44.57,44.53,44.65,6.44,S,XIV
46.5221,46.47,46.61,5.71,Ne,VII
49.9406,49.89,50.01,6.29,Si,XII
52.1,52.03,52.13,6.28,Si,XII
52.5795,52.53,52.65,4.92,O,III
53.703,53.65,53.77,3.84,He,I
55.437,55.39,55.51,5.19,O,IV
56.813,56.73,56.85,6.96,Al,XI
58.4334,58.39,58.51,4.16,He,I
59.224,59.17,59.31,6.89,Fe,XIX
59.9598,59.93,60.05,4.92,O,III
60.98,60.93,61.05,6.1,Mg,X
62.4943,62.45,62.57,6.05,Mg,X
62.973,62.93,63.05,5.37,O,V
71.8535,71.81,71.93,4.48,O,II
72.156,72.11,72.21,6.96,Fe,XX
77.0409,76.99,77.11,5.81,Ne,VIII
79.0199,78.97,79.09,5.19,O,IV
83.55,83.25,83.61,4.52,O,II
94.97,94.93,95.05,3.84,H,I
97.2537,97.21,97.31,3.84,H,I
97.703,97.65,97.77,4.84,C,III
102.572,102.52,102.64,3.84,H,I
103.19,103.15,103.25,5.47,O,VI
10.395,10.31,10.47,6.95,Fe,XVIII
11.723,11.67,11.81,7.10,Fe,XXII
14.837,14.77,14.93,6.20,Ni,XI
17.453,17.38,17.52,6.05,Fe,X
20.383,20.33,20.45,6.30,Fe,XIII
21.516,21.45,21.57,6.40,O,V
21.710,21.64,21.76,5.90,Fe,IX
21.912,21.85,21.95,6.30,Fe,XIV
23.387,23.31,23.49,6.40,Fe,XV
23.851,23.79,23.95,5.20,O,IV
24.174,24.12,24.22,5.90,Fe,IX
24.919,24.89,25.01,6.80,Ni,XVII
26.479,26.37,26.55,6.30,Fe,XIV
27.039,26.97,27.13,5.70,Mg,VI
38.421,38.35,38.47,7.05,Fe,XX
38.907,38.86,38.96,7.05,Ar,XVI
41.766,41.68,41.83,7.05,S,XIV
46.985,46.91,47.07,5.20,Ne,IV
50.808,50.67,50.91,4.90,O,III
54.199,54.05,54.29,5.20,Ne,IV
54.389,54.29,54.53,5.20,Ne,IV
55.003,54.92,55.10,6.90,Al,XI
57.230,57.13,57.31,5.40,Ne,V
57.428,57.34,57.48,4.95,C,III
76.040,75.97,76.13,5.30,O,V
76.515,76.41,76.63,5.10,N,IV
78.769,78.71,78.89,5.20,O,IV
84.550,84.52,84.64,7.10,Fe,XXII
90.409,90.31,90.51,4.60,C,II
92.320,92.25,92.39,5.10,N,IV
93.338,93.25,93.45,5.30,S,VI
103.761,103.53,103.89,5.40,O,VI
